Российская империя {+1721-11-02/+1917-09-14} > Бессарабская губерния (Бессарабская область) {+1812-05-16/+1917-12-15} > Кишинёвский уезд > Кишинёв [47.00556,28.8575]
Российская империя {+1721-11-02/+1917-09-14} > Бессарабская губерния (Бессарабская область) {+1812-05-16/+1917-12-15} > Оргеевский уезд > Криуляны [47.21667,29.16139]
Российская империя {+1721-11-02/+1917-09-14} > Бессарабская губерния (Бессарабская область) {+1812-05-16/+1917-12-15} > Оргеевский уезд > Оргеев [47.38306,28.82306]
Российская империя {+1721-11-02/+1917-09-14} > Бессарабская губерния (Бессарабская область) {+1812-05-16/+1917-12-15} > Оргеевский уезд > Тузора [47.25444,28.30806]
Российская империя {+1721-11-02/+1917-09-14} > Бессарабская губерния (Бессарабская область) {+1812-05-16/+1917-12-15} > Сорокский уезд > Атаки [48.43,27.79389]
Российская империя {+1721-11-02/+1917-09-14} > Бессарабская губерния (Бессарабская область) {+1812-05-16/+1917-12-15} > Сорокский уезд > Бричаны [48.36278,27.085]
Российская империя {+1721-11-02/+1917-09-14} > Бессарабская губерния (Бессарабская область) {+1812-05-16/+1917-12-15} > Сорокский уезд > Вад Рашков [47.9333333333,28.8263888889]
Российская империя {+1721-11-02/+1917-09-14} > Бессарабская губерния (Бессарабская область) {+1812-05-16/+1917-12-15} > Сорокский уезд > Сороки [48.15583,28.2975]
Российская империя {+1721-11-02/+1917-09-14} > Бессарабская губерния (Бессарабская область) {+1812-05-16/+1917-12-15} > Сорокский уезд > Фларешты [47.89333,28.30139]
Российская империя {+1721-11-02/+1917-09-14} > Бессарабская губерния (Бессарабская область) {+1812-05-16/+1917-12-15} > Хотинский уезд > Единцы [48.16806,27.305]
Российская империя {+1721-11-02/+1917-09-14} > Бессарабская губерния (Бессарабская область) {+1812-05-16/+1917-12-15} > Хотинский уезд > Липканы [48.26528,26.80389]
Российская империя {+1721-11-02/+1917-09-14} > Бессарабская губерния (Бессарабская область) {+1812-05-16/+1917-12-15} > Хотинский уезд > Новоселицы [48.21667,26.26667]
Российская империя {+1721-11-02/+1917-09-14} > Бессарабская губерния (Бессарабская область) {+1812-05-16/+1917-12-15} > Хотинский уезд > Секуряны [48.45,27.41667]
Российская империя {+1721-11-02/+1917-09-14} > Бессарабская губерния (Бессарабская область) {+1812-05-16/+1917-12-15} > Хотинский уезд > Хотин [48.50944,26.49194]
Российская империя {+1721-11-02/+1917-09-14} > Вазаская губерния {+1775/+1997} > Каскэ [62.38472,21.22222]
Российская империя {+1721-11-02/+1917-09-14} > Вазаская губерния {+1775/+1997} > Кристиненстад [62.27361,21.37778]
Российская империя {+1721-11-02/+1917-09-14} > Вазаская губерния {+1775/+1997} > Николайстад [63.1,21.61667]
Российская империя {+1721-11-02/+1917-09-14} > Вазаская губерния {+1775/+1997} > Нюкарлебю [63.51667,22.53333]
Российская империя {+1721-11-02/+1917-09-14} > Варшавская (Мазовецкая) губерния {+1837/+1917} > Блонский уезд > Блоны [52.2,20.61667]
Российская империя {+1721-11-02/+1917-09-14} > Варшавская (Мазовецкая) губерния {+1837/+1917} > Блонский уезд > Мщанов [51.97417,20.52667]
Российская империя {+1721-11-02/+1917-09-14} > Варшавская (Мазовецкая) губерния {+1837/+1917} > Варшавский уезд > Варшава [52.21667,21.03333]
Российская империя {+1721-11-02/+1917-09-14} > Варшавская (Мазовецкая) губерния {+1837/+1917} > Варшавский уезд > Новый Двор [52.43333,20.68333]
Российская империя {+1721-11-02/+1917-09-14} > Варшавская (Мазовецкая) губерния {+1837/+1917} > Влоцлавский уезд > Брест-Кунявский [52.605,18.89806]
Российская империя {+1721-11-02/+1917-09-14} > Варшавская (Мазовецкая) губерния {+1837/+1917} > Влоцлавский уезд > Влоцлавск [52.65,19.05]
Российская империя {+1721-11-02/+1917-09-14} > Варшавская (Мазовецкая) губерния {+1837/+1917} > Гостынский уезд > Гомбин [52.4,19.73333]
Российская империя {+1721-11-02/+1917-09-14} > Варшавская (Мазовецкая) губерния {+1837/+1917} > Гостынский уезд > Гостынин [52.41667,19.46667]
Российская империя {+1721-11-02/+1917-09-14} > Варшавская (Мазовецкая) губерния {+1837/+1917} > Граецкий уезд > Варка [51.78333,21.2]
Российская империя {+1721-11-02/+1917-09-14} > Варшавская (Мазовецкая) губерния {+1837/+1917} > Граецкий уезд > Грайцы [51.86556,20.8675]
Российская империя {+1721-11-02/+1917-09-14} > Варшавская (Мазовецкая) губерния {+1837/+1917} > Кутновский уезд > Кутно [52.23333,19.36667]
Российская империя {+1721-11-02/+1917-09-14} > Варшавская (Мазовецкая) губерния {+1837/+1917} > Ловичский уезд > Лович [52.1,19.93333]
Российская империя {+1721-11-02/+1917-09-14} > Варшавская (Мазовецкая) губерния {+1837/+1917} > Нешавский уезд > Нешава [52.83667,18.90139]
Российская империя {+1721-11-02/+1917-09-14} > Варшавская (Мазовецкая) губерния {+1837/+1917} > Новоминский уезд > Калушин [52.20833,21.81167]
Российская империя {+1721-11-02/+1917-09-14} > Варшавская (Мазовецкая) губерния {+1837/+1917} > Новоминский уезд > Ново-Минск [52.18333,21.56667]
Российская империя {+1721-11-02/+1917-09-14} > Варшавская (Мазовецкая) губерния {+1837/+1917} > Плонский уезд > Закрочим [52.43333,20.61667]
Российская империя {+1721-11-02/+1917-09-14} > Варшавская (Мазовецкая) губерния {+1837/+1917} > Плонский уезд > Плонск [52.63333,20.38333]
Российская империя {+1721-11-02/+1917-09-14} > Варшавская (Мазовецкая) губерния {+1837/+1917} > Пултусский уезд > Насельск [52.6,20.8]
Российская империя {+1721-11-02/+1917-09-14} > Варшавская (Мазовецкая) губерния {+1837/+1917} > Пултусский уезд > Пултуск [52.7,21.08333]
Российская империя {+1721-11-02/+1917-09-14} > Варшавская (Мазовецкая) губерния {+1837/+1917} > Родиминский уезд > Радимин [52.41667,21.18333]
Российская империя {+1721-11-02/+1917-09-14} > Варшавская (Мазовецкая) губерния {+1837/+1917} > Скерневицкий уезд > Скерневицы [51.95278,20.14167]
Российская империя {+1721-11-02/+1917-09-14} > Варшавская (Мазовецкая) губерния {+1837/+1917} > Сохачевский уезд > Сохачев [52.23333,20.23333]
Российская империя {+1721-11-02/+1917-09-14} > Виленская губерния {+1795/+1917} > Вилейский уезд > Буцлав [54.78333,27.45]
Российская империя {+1721-11-02/+1917-09-14} > Виленская губерния {+1795/+1917} > Вилейский уезд > Вилейка [54.48333,26.91667]
Российская империя {+1721-11-02/+1917-09-14} > Виленская губерния {+1795/+1917} > Вилейский уезд > Волколата [54.9275,27.36833]
Российская империя {+1721-11-02/+1917-09-14} > Виленская губерния {+1795/+1917} > Вилейский уезд > Вязынь [54.42083,27.1625]
Российская империя {+1721-11-02/+1917-09-14} > Виленская губерния {+1795/+1917} > Вилейский уезд > Городок [55.46667,29.98333]
Российская империя {+1721-11-02/+1917-09-14} > Виленская губерния {+1795/+1917} > Вилейский уезд > Долгинов [54.65,27.48333]
Российская империя {+1721-11-02/+1917-09-14} > Виленская губерния {+1795/+1917} > Вилейский уезд > Дуниловичи [55.07556,27.23417]
Российская империя {+1721-11-02/+1917-09-14} > Виленская губерния {+1795/+1917} > Вилейский уезд > Илья [54.41639,27.29139]
